entity,new applications,acceptances,rejections,pending
Gabon,314,37,175,900
Gambia,4250,266,1494,7181
Georgia,16433,812,11826,35741
Germany,238,62,35,809
Ghana,7191,357,1156,15743
Gibraltar,0,0,0,0
Greece,35,5,30,210
Greenland,0,0,0,0
Grenada,30,10,19,114
Guadeloupe,7,0,0,81
Guam,0,0,0,0
Guatemala,34200,1719,2736,196329
Guinea,28374,2287,5764,50911
Guinea-Bissau,500,35,173,1509
Guyana,387,21,5,1620
Haiti,61493,5256,2427,270715
Holy See,0,0,0,0
Honduras,55011,8907,4641,245596
Hungary,581,127,60,1554
Iceland,0,0,0,5
India,58339,2655,8369,182575
Indonesia,5317,234,1751,17591
Iran (Islamic Rep. of),17573,10601,5541,61862
Iraq,19679,5690,10817,174986
Ireland,171,0,10,346
Israel,648,103,101,1585
Italy,381,5,40,1840
Jamaica,2560,224,215,9176
Japan,22,0,5,157
Jordan,4463,370,476,11677
Kazakhstan,2819,211,1025,12241
Kenya,3706,866,597,19174
Kiribati,30,0,10,40
Kuwait,920,252,81,3005
Kyrgyzstan,3792,119,402,11053
Lao People's Dem. Rep.,153,10,43,723
Latvia,60,17,27,171
Lebanon,3045,608,1206,10463
Lesotho,0,0,0,31
Liberia,1362,69,564,4363
Libya,1784,547,596,6000
Liechtenstein,0,0,0,0
Lithuania,56,14,5,150
Luxembourg,0,0,0,5
Madagascar,190,20,108,281
Malawi,553,40,83,2164
Malaysia,1766,572,4136,15439
Maldives,14,5,0,35
Mali,13583,2727,1276,22724
Malta,0,0,0,10
Marshall Islands,0,0,0,5
Martinique,0,0,0,5
Mauritania,11146,336,968,27239
Mauritius,163,15,131,559
Mexico,62236,2825,4690,204778
Micronesia (Federated States of),5,0,0,5
Monaco,0,0,0,0
Mongolia,2039,100,626,7390
Montenegro,380,5,136,1107
Montserrat,0,0,0,0
Morocco,13936,452,6923,18265
Mozambique,174,0,20,8899
Myanmar,8588,5246,162,62496
Namibia,189,126,540,1128
Nauru,0,0,0,18
Nepal,6522,369,2056,20188
Netherlands (Kingdom of the),57,0,15,262
New Caledonia,5,0,0,5
New Zealand,10,5,5,27
Nicaragua,43534,2685,2314,345805
Niger,2961,507,454,7449
Nigeria,28006,3295,9349,81320
Niue,0,0,0,5
North Macedonia,3186,20,1987,3323
Northern Mariana Islands,0,0,0,0
Norway,10,0,5,35
Oman,27,16,0,95
Pakistan,27538,5922,11276,77425
Palau,0,0,0,0
Panama,863,33,63,2600
Papua New Guinea,335,92,153,1029
Paraguay,855,20,70,2708
Peru,41873,736,4258,114165
Philippines,1685,45,887,5498
Poland,221,10,80,1105
Portugal,205,5,15,1160
Puerto Rico,0,0,0,5
Qatar,7,10,0,56
Rep. of Korea,171,0,73,1014
Rep. of Moldova,3253,80,1689,5848
Reunion,0,0,0,0
Romania,1856,124,214,8059
Russian Federation,29185,4635,6689,125087
Rwanda,3989,748,613,21061
Saint Kitts and Nevis,15,0,0,68
Saint Lucia,145,10,58,308
Saint Vincent and the Grenadines,64,23,31,160
Saint-Martin (French part),0,0,0,0
Saint-Pierre-et-Miquelon,0,0,0,0
Samoa,209,0,234,388
San Marino,0,0,0,0
Sao Tome and Principe,10,0,0,21
Saudi Arabia,233,176,34,1598
Senegal,24991,521,2319,38771
Serbia and Kosovo: S/RES/1244 (1999),6367,196,3587,5869
Seychelles,0,0,0,13
Sierra Leone,3274,467,1460,8729
Singapore,139,0,0,322
Sint Maarten (Dutch part),0,0,0,0
Slovakia,56,22,10,121
Slovenia,29,0,0,111
Solomon Islands,285,15,194,661
Somalia,73697,19891,3159,226721
South Africa,1577,139,726,4844
South Sudan,12297,2089,70,34758
Spain,587,0,36,1930
Sri Lanka,13471,1958,3874,24039
State of Palestine,7484,4579,319,14301
Stateless,1827,2749,463,4760
Sudan,220184,13029,815,465160
Suriname,101,5,23,257
Svalbard and Jan Mayen,0,0,0,0
Sweden,122,0,34,298
Switzerland,0,0,0,43
Syrian Arab Rep.,86375,80497,3747,163175
Tajikistan,3950,297,656,8203
Thailand,948,20,689,3658
Tibetan,0,0,0,0
Timor-Leste,411,0,374,1206
Togo,2051,4830,358,4908
Tonga,758,5,801,1507
Trinidad and Tobago,304,49,103,924
Tunisia,9306,313,4754,9997
Türkiye,59308,10135,28860,158446
Turkmenistan,778,84,112,2275
Turks and Caicos Islands,0,0,0,6
Tuvalu,0,0,5,0
Uganda,3992,838,456,18126
Ukraine,22099,9472,839,40022
United Arab Emirates,31,5,0,163
United Kingdom of Great Britain and Northern Ireland,367,16,24,508
United Rep. of Tanzania,1055,139,213,3739
United States of America,554,40,320,2060
Unknown,8858,2712,2724,91833
Uruguay,199,0,15,1004
Uzbekistan,8351,313,1498,22657
Vanuatu,681,0,773,903
Venezuela (Bolivarian Republic of),182665,21885,6569,1.3
Viet Nam,12931,377,3426,23012
Western Sahara,286,15,210,809
Yemen,4014,2986,372,33790
Zambia,196,32,5,825
Zimbabwe,1859,466,607,10213
